"horizon","full_ar1","full_geom","full_pois","full_lin","full_unres","gravity_ar1","gravity_geom","gravity_pois","gravity_lin","gravity_unres","naive_seasonal"
1,1.57657743614936,1.55091750343711,1.55386008576779,1.55557195434258,1.55451347722482,1.57851067013499,1.55388255237816,1.55712367177565,1.55898722265124,1.55784583862681,1.7312702982209
2,1.63110458727171,1.61249221371358,1.61749297679077,1.62007794863277,1.61756188565013,1.63663383274788,1.6173351537405,1.62174777133761,1.62363826967401,1.6221480194344,1.73060904785429
3,1.65432032103724,1.63567851034616,1.63759106127896,1.6383719953654,1.63823610800545,1.66489450703911,1.64144534047758,1.64431018545149,1.64497367544128,1.64547003451642,1.72880401342237
4,1.66075726416882,1.64319905786302,1.64469470627249,1.6453906036415,1.64487561747885,1.67500680868325,1.64885978278197,1.65235623872081,1.65266729563958,1.65264012575875,1.72676238163832
