"","data_set","unit","prediction_horizon","model","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","multiv_log_score"
"7166","noroBE",4,2,"naive",353,4.52621627190173,9.95126600744577,2,6,0,12,7,2.68418699064278,2.51495476943326
"7167","noroBE",4,3,"naive",353,5.39231508846296,13.0921895328062,3,7,0,14,6,2.33111358448773,2.52139229557383
"7168","noroBE",4,4,"naive",353,5.63210647818259,14.0320203767425,3,8,0,15,7,2.50152855818303,2.69192506228134
"7169","noroBE",5,1,"naive",353,4.21189384883578,8.9096228005025,2,6,0,11,6,2.4661031761184,2.75345862760928
"7170","noroBE",5,2,"naive",353,4.7890300799552,10.8623792527887,2,7,0,13,2,2.05623242392174,2.51495476943326
"7171","noroBE",5,3,"naive",353,5.70541874447268,14.3254366921578,3,8,0,15,5,2.19309222463056,2.52139229557383
"7172","noroBE",5,4,"naive",353,5.9591335714487,15.3628464615711,3,8,0,15,8,2.6675877775349,2.69192506228134
"7173","noroBE",6,1,"naive",353,4.3265854679546,9.28363998617453,2,6,0,12,3,1.91102246760903,2.75345862760928
"7174","noroBE",6,2,"naive",353,4.91943735838902,11.3280495341171,2,7,0,13,4,2.04677074383334,2.51495476943326
"7175","noroBE",6,3,"naive",353,5.86077966690792,14.9566426582261,3,8,0,15,5,2.20139791700391,2.52139229557383
"7176","noroBE",6,4,"naive",353,6.12140325401529,16.0442229717187,3,8,0,16,10,3.09447812147854,2.69192506228134
"7177","noroBE",7,1,"naive",353,7.74591859487443,23.6342751663614,4,10,1,19,11,3.0064337337838,2.75345862760928
"7178","noroBE",7,2,"naive",353,8.80730580567496,29.3481965709643,5,12,1,22,11,2.89591539609624,2.51495476943326
"7179","noroBE",7,3,"naive",353,10.4925980403262,39.6466680632136,6,14,2,26,2,3.43553872066471,2.52139229557383
"7180","noroBE",7,4,"naive",353,10.959194413977,42.7638270420778,6,15,2,27,6,2.71447963407277,2.69192506228134
"7181","noroBE",8,1,"naive",353,5.30280428134019,12.7491692306389,3,7,0,14,13,4.32725248732966,2.75345862760928
"7182","noroBE",8,2,"naive",353,6.02942289689305,15.6562819325542,3,8,0,16,6,2.31782582766682,2.51495476943326
"7183","noroBE",8,3,"naive",353,7.18316273649469,20.8467436217211,4,10,1,18,4,2.33179341752399,2.52139229557383
"7184","noroBE",8,4,"naive",353,7.50259150631038,22.4084063753085,4,10,1,19,8,2.5580102013673,2.69192506228134
"7185","noroBE",9,1,"naive",353,3.92914085987842,8.01730493931915,2,5,0,11,0,2.6931898400023,2.75345862760928
"7186","noroBE",9,2,"naive",353,4.46753276356668,9.75282022602655,2,6,0,12,3,1.93170783573464,2.51495476943326
"7187","noroBE",9,3,"naive",353,5.32240239573472,12.8239096347502,3,7,0,14,6,2.33458166563398,2.52139229557383
"7188","noroBE",9,4,"naive",353,5.55908483104918,13.7425968314878,3,8,0,14,3,2.11852637516376,2.69192506228134
"7189","noroBE",10,1,"naive",353,8.45418778627617,27.3809750779292,5,11,1,21,8,2.55656975175908,2.75345862760928
"7190","noroBE",10,2,"naive",353,9.61262583131284,34.0816807991123,5,13,1,24,6,2.5642127446376,2.51495476943326
"7191","noroBE",10,3,"naive",353,11.4520173575706,46.181404221873,6,15,2,28,3,3.26627620394449,2.52139229557383
"7192","noroBE",10,4,"naive",353,11.9612782431484,49.8481115309601,7,16,2,29,1,4.33557184380968,2.69192506228134
"7193","noroBE",11,1,"naive",353,6.62863969238425,18.2640565440898,3,9,1,17,5,2.25862657642047,2.75345862760928
"7194","noroBE",11,2,"naive",353,7.53693136990806,22.5795083339976,4,10,1,19,14,3.67271149742408,2.51495476943326
"7195","noroBE",11,3,"naive",353,8.97913539813888,30.3293459195259,5,12,1,22,12,3.02671498791556,2.52139229557383
"7196","noroBE",11,4,"naive",353,9.37842945278474,32.6697092511884,5,13,1,23,12,2.99089685698815,2.69192506228134
"7197","noroBE",12,1,"naive",353,4.61164266916365,10.2434062955569,2,6,0,12,7,2.66361559380758,2.75345862760928
"7198","noroBE",12,2,"naive",353,5.24355462252076,12.5244487128054,3,7,0,14,11,3.68030258086507,2.51495476943326
"7199","noroBE",12,3,"naive",353,6.24691729463436,16.5808263038815,3,8,0,16,3,2.25030421319598,2.52139229557383
"7200","noroBE",12,4,"naive",353,6.52471207386544,17.7981356265051,3,9,1,17,7,2.44848367336595,2.69192506228134
"7201","noroBE",1,1,"naive",354,5.0246358630339,11.7053143052106,3,7,0,13,5,2.17428448191607,2.51437663201252
"7202","noroBE",1,2,"naive",354,5.98631622226906,15.4689873689689,3,8,0,15,2,2.36588238601743,2.52159143924302
"7203","noroBE",1,3,"naive",354,6.25223693528854,16.5960874690753,3,8,1,16,8,2.63256107515886,2.69170388800924
"7204","noroBE",1,4,"naive",354,7.06544546721636,20.2750701529444,4,10,1,18,8,2.57250834442497,2.76789030069067
"7205","noroBE",2,1,"naive",354,3.59446899096588,7.01332542209986,2,5,0,10,3,1.82530074678933,2.51437663201252
"7206","noroBE",2,2,"naive",354,4.28242535730134,9.13520962387356,2,6,0,12,3,1.90463311905141,2.52159143924302
"7207","noroBE",2,3,"naive",354,4.47265680552154,9.76615210337383,2,6,0,12,2,1.9755473741275,2.69170388800924
"7208","noroBE",2,4,"naive",354,5.05440102159663,11.8144644942748,3,7,0,13,3,2.02735312772945,2.76789030069067
"7209","noroBE",3,1,"naive",354,5.4127525973474,13.1653589940614,3,7,0,14,6,2.32994807856597,2.51437663201252
"7210","noroBE",3,2,"naive",354,6.44871580028586,17.4529001246982,3,9,1,16,8,2.61350856268632,2.52159143924302
"7211","noroBE",3,3,"naive",354,6.73517696271038,18.7387185953414,4,9,1,17,5,2.26812743248599,2.69170388800924
"7212","noroBE",3,4,"naive",354,7.61119996484683,22.9403348308859,4,10,1,19,16,4.12791698428633,2.76789030069067
"7213","noroBE",4,1,"naive",354,4.5418300677822,10.0003279131639,2,6,0,12,7,2.68017569503583,2.51437663201252
"7214","noroBE",4,2,"naive",354,5.41110475558665,13.1589915115101,3,7,0,14,6,2.33002170231006,2.52159143924302
"7215","noroBE",4,3,"naive",354,5.6514737540495,14.1029935121579,3,8,0,15,7,2.49943040408175,2.69170388800924
"7216","noroBE",4,4,"naive",354,6.38654293366099,17.1795647067392,3,9,1,16,8,2.61919043460179,2.76789030069067
"7217","noroBE",5,1,"naive",354,4.79024675467328,10.8621822842087,2,7,0,13,2,2.05659865516133,2.51437663201252
"7218","noroBE",5,2,"naive",354,5.70706666867948,14.3256775401506,3,8,0,15,5,2.19295742743934,2.52159143924302
"7219","noroBE",5,3,"naive",354,5.960582717855,15.3619023760184,3,8,0,15,8,2.66718317285642,2.69170388800924
"7220","noroBE",5,4,"naive",354,6.73585671524031,18.7418214021093,4,9,1,17,1,2.98306966470448,2.76789030069067
"7221","noroBE",6,1,"naive",354,4.91000971330561,11.2893546222581,2,7,0,13,4,2.04582196648707,2.51437663201252
"7222","noroBE",6,2,"naive",354,5.84975142467586,14.9047045146289,3,8,0,15,5,2.20055371714975,2.52159143924302
"7223","noroBE",6,3,"naive",354,6.10960573441811,15.986894517708,3,8,0,16,10,3.09722765220469,2.69170388800924
"7224","noroBE",6,4,"naive",354,6.9042626806227,19.5180642155183,4,9,1,18,5,2.28421108460522,2.76789030069067
"7225","noroBE",7,1,"naive",354,8.81005548681995,29.3485529333846,5,12,1,22,11,2.89545725738994,2.51437663201252
"7226","noroBE",7,2,"naive",354,10.4962388355036,39.6489392414296,6,14,2,26,2,3.43704639709444,2.52159143924302
"7227","noroBE",7,3,"naive",354,10.9624967496407,42.7627322518609,6,15,2,27,6,2.7148280931673,2.69170388800924
"7228","noroBE",7,4,"naive",354,12.3883537637475,52.9988763665244,7,16,2,30,14,3.05877752078737,2.76789030069067
"7229","noroBE",8,1,"naive",354,6.0501029816463,15.7359346057787,3,8,0,16,6,2.31763713140714,2.51437663201252
"7230","noroBE",8,2,"naive",354,7.20805061554433,20.956288443322,4,10,1,18,4,2.33554390555205,2.52159143924302
"7231","noroBE",8,3,"naive",354,7.52824251453484,22.525041938817,4,10,1,19,8,2.55719327161014,2.69170388800924
