"","data_set","unit","prediction_horizon","model","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","multiv_log_score"
"1","noroBE",1,1,"naive",204,9.95669165258417,36.088506870277,6,13,1,24,4,2.78117539952432,2.8304420576422
"2","noroBE",1,2,"naive",204,11.3139863437862,45.0559818700695,6,15,2,27,10,2.76044071195476,2.91687457357875
"3","noroBE",1,3,"naive",204,10.4996739430462,39.559371398913,6,14,2,26,12,2.9244124642471,2.9667493419147
"4","noroBE",1,4,"naive",204,6.66702040443611,18.383658933493,4,9,1,17,8,2.59466965623966,2.5494263091655
"5","noroBE",2,1,"naive",204,7.16454902120824,20.6951529109123,4,10,1,18,3,2.43335537589795,2.8304420576422
"6","noroBE",2,2,"naive",204,8.14121925371652,25.6122434482086,4,11,1,20,9,2.66361733777025,2.91687457357875
"7","noroBE",2,3,"naive",204,7.55526346466028,22.6018743546592,4,10,1,19,5,2.35225374939378,2.9667493419147
"8","noroBE",2,4,"naive",204,4.79739618134913,10.8640698331733,2,7,0,13,1,2.35022058550427,2.5494263091655
"9","noroBE",3,1,"naive",204,10.0689918414967,36.793605834573,6,13,1,25,6,2.61303485068025,2.8304420576422
"10","noroBE",3,2,"naive",204,11.4415952773652,45.9490260962352,6,15,2,28,8,2.70829350450102,2.91687457357875
"11","noroBE",3,3,"naive",204,10.6180983563419,40.3370134333861,6,14,2,26,10,2.7447764857937,2.9667493419147
